sku;colecao;categoria;subcategoria
01TS020300;VE16;Jeanswear;Tshirt
01TS020400;AV15;Jeanswear;Tshirt
01TS020500;IN15;Jeanswear;Tshirt
01TS020600;AV16;Jeanswear;Tshirt
01TS020700;AV16;Jeanswear;Tshirt
01TS020900;AV16;Jeanswear;Tshirt
01TS021000;AI15;Jeanswear;Tshirt
01TS021100;AI15;Jeanswear;Tshirt
01TS021200;IN16;Jeanswear;Tshirt
01TS021300;IN16;Jeanswear;Tshirt
01TS021400;IN16;Jeanswear;Tshirt
01TS021500;IN16;Jeanswear;Tshirt
01TS021600;IN16;Jeanswear;Tshirt
01TS021700;IN16;Jeanswear;Tshirt
01TS021800;IN16;Jeanswear;Tshirt
01TS021900;IN16;Jeanswear;Tshirt
01TS022000;IN16;Jeanswear;Tshirt
01TS022100;IN16;Jeanswear;Tshirt
01TS022200;IN16;Jeanswear;Tshirt
01TS022300;AI16;Jeanswear;Tshirt
01TS022600;AI16;Jeanswear;Tshirt
01TS022700;AI16;Jeanswear;Tshirt
01TS022800;AI16;Jeanswear;Tshirt
01TS023000;AI16;Jeanswear;Tshirt
01TS023100;AI16;Jeanswear;Tshirt
01TS023200;AI16;Jeanswear;Tshirt
01TS023300;AN01;Jeanswear;Tshirt
01TS023400;AN01;Jeanswear;Tshirt
