sku;colecao;categoria;subcategoria
02BK005800;VE14;Resort;Biquíni
02BK006100;VE14;Resort;Biquíni
02BK006200;VE14;Resort;Biquíni
02BK006300;VE14;Resort;Biquíni
02BK006400;VE14;Resort;Biquíni
02BK006500;VE14;Resort;Biquíni
02BK006600;VE14;Resort;Biquíni
02BK006700;VE14;Resort;Biquíni
02BK006800;VE14;Resort;Biquíni
02BK006900;VE14;Resort;Biquíni
02BK007000;VE14;Resort;Biquíni
02BK007400;AV14;Resort;Biquíni
02BK007500;AV14;Resort;Biquíni
02BK007600;AV14;Resort;Biquíni
02BK007700;AV14;Resort;Biquíni
02BK007800;AV14;Resort;Biquíni
02BK008000;AV14;Resort;Biquíni
02BK008100;AV14;Resort;Biquíni
02BK008200;AV14;Resort;Biquíni
02BK008300;AV14;Resort;Biquíni
02BK008500;AV14;Resort;Biquíni
02BK008700;AV14;Resort;Biquíni
02BK008800;VE14;Resort;Biquíni
02BK008900;VE14;Resort;Biquíni
02BK009000;AV14;Resort;Biquíni
02BK009100;AV14;Resort;Biquíni
02BK009200;AV14;Resort;Biquíni
02BK009300;AV14;Resort;Biquíni
02BK009400;AV14;Resort;Biquíni
02BK009500;AV14;Resort;Biquíni
02BK009600;AV14;Resort;Biquíni
02BK009800;AV14;Resort;Biquíni
02BK009900;AV14;Resort;Biquíni
02BK010000;AV14;Resort;Biquíni
02BK010100;AV14;Resort;Biquíni
02BK010200;AV14;Resort;Biquíni
02BK010300;AV14;Resort;Biquíni
02BK010400;AV14;Resort;Biquíni
02BK010500;AV14;Resort;Biquíni
02BK010600;AV14;Resort;Biquíni
02BK010700;AV14;Resort;Biquíni
02BK010800;AV14;Resort;Biquíni
02BK010900;AV14;Resort;Biquíni
02BK011000;AV14;Resort;Biquíni
02BK011100;AV14;Resort;Biquíni
02BK011300;AV14;Resort;Biquíni
02BK011500;AV14;Resort;Biquíni
02BK011600;AV14;Resort;Biquíni
02BK011700;AV14;Resort;Biquíni
02BK011900;AV14;Resort;Biquíni
02BK012000;AV14;Resort;Biquíni
02BK012100;AV14;Resort;Biquíni
02BK012300;AV14;Resort;Biquíni
02BK012400;AV14;Resort;Biquíni
02BK012500;AV14;Resort;Biquíni
02BK012700;AV14;Resort;Biquíni
02BK012800;AV14;Resort;Biquíni
02BK012900;AV14;Resort;Biquíni
02BK013000;AV14;Resort;Biquíni
02BK013100;AV14;Resort;Biquíni
02BK013200;AV14;Resort;Biquíni
02BK013300;AV14;Resort;Biquíni
02BK013400;AV14;Resort;Biquíni
02BK013500;AV14;Resort;Biquíni
02BK013600;AV14;Resort;Biquíni
02BK013700;AV14;Resort;Biquíni
02BK013800;AV14;Resort;Biquíni
02BK013900;AV14;Resort;Biquíni
02BK014000;AV14;Resort;Biquíni
02BK014100;AV14;Resort;Biquíni
02BK014200;AV14;Resort;Biquíni
02BK014300;AV14;Resort;Biquíni
02BK020000;VE14;Resort;Biquíni
02BL000100;AN01;Collection;Blusa
02BL000200;IN09;Collection;Blusa
02BL000400;IN09;Collection;Regata
02BL000500;IN09;Collection;Blusa
02BL000600;IN09;Collection;Blusa
02BL000700;IN09;Collection;Blusa
02BL000800;IN09;Collection;Blusa
02BL000900;IN09;Collection;Blusa
02BL001100;IN09;Collection;Blusa
02BL001200;IN09;Collection;Blusa
02BL001300;IN09;Collection;Camisa
02BL001400;IN09;Collection;Blusa
02BL001500;IN09;Collection;Camisa
02BL001700;IN09;Collection;Blusa
02BL001800;IN09;Collection;Blusa
02BL001900;IN09;Collection;Blusa
02BL002000;IN09;Collection;Blusa
02BL002200;IN09;Collection;Blusa
02BL002300;IN09;Collection;Casaco
02BL002400;IN09;Collection;Blusa
02BL002500;IN09;Collection;Blusa
02BL002600;IN09;Collection;Blusa
02BL002700;IN09;Collection;Top
02BL002800;IN09;Collection;Blusa
02BL002900;IN09;Collection;Blusa
02BL003000;IN09;Collection;Top
02BL003100;IN09;Collection;Blusa
02BL003200;IN09;Collection;Blusa
02BL003300;IN09;Collection;Blusa
02BL003400;IN09;Collection;Blusa
02BL003500;IN09;Collection;Camisa
02BL003600;IN09;Collection;Blusa
02BL003700;IN09;Collection;Blusa
02BL003800;IN09;Collection;Blusa
02BL003900;IN09;Collection;Blusa
02BL004100;IN09;Collection;Blusa
02BL004300;IN09;Collection;Blusa
02BL004400;IN09;Collection;Blusa
02BL004500;IN09;Collection;Blusa
02BL004600;IN09;Collection;Blusa
02BL004700;IN09;Collection;Blusa
02BL004800;AI09;Collection;Blusa
02BL004900;AI09;Collection;Blusa
02BL005000;AI09;Collection;Blusa
02BL005100;AI09;Collection;Blusa
02BL005200;AI09;Collection;Blusa
02BL005300;IN09;Collection;Blusa
02BL005400;AI09;Collection;Blusa
02BL005500;IN09;Collection;Blusa
02BL005600;AI09;Collection;Blusa
02BL005700;AI09;Collection;Blusa
02BL005800;AI09;Collection;Blusa
02BL005900;AI09;Collection;Blusa
02BL006000;AI09;Collection;Blusa
02BL006100;AI09;Collection;Blusa
02BL006200;AI09;Collection;Blusa
02BL006300;AI09;Collection;Blusa
02BL006400;AI09;Collection;Blusa
02BL006500;AI09;Collection;Blusa
